anho;mes;idprovincia;provincia;e;evap;glo;hr;inso;n_cub;n_des;n_fog;n_gra;n_llu;n_nie;n_nub;np_001;np_010;np_100;np_300;nt_00;nt_30;n_tor;nv_0050;nv_0100;nv_1000;nw_55;nw_91;p_max;p_mes;p_sol;q_mar;q_max;q_med;q_min;ta_max;ta_min;ti_max;tm_max;tm_mes;tm_min;ts_10;ts_20;ts_50;ts_min;w_med;w_rec
2003;11;1;ARABA/ALAVA;99;516;18870;82;3.4;11;4;5;0;19;0;15;16;11;2;0;5;0;1;0;0;4;1;0;14.3;67.2;35;1016.4;969.7;956.3;930.6;18.8;-2.8;9;13.9;9;4.1;-9999;-9999;-9999;11.2;7;167
2003;12;1;ARABA/ALAVA;82;434;11732;85;2.4;14;1;6;0;22;1;16;19;13;2;0;5;0;1;0;0;0;3;0;20.5;89;27;1020.8;975.4;959.7;943;13.4;-2.4;5.5;9.7;6.2;2.6;7.1;7.3;8.2;7;8;184
2004;1;1;ARABA/ALAVA;85;557;12018;84;1.7;20;0;6;0;19;2;11;19;12;4;0;9;0;1;0;0;1;4;0;25.2;111.5;18;1019.7;967;958.7;944.9;16;-3.5;4.3;10.2;6.7;3.2;6.9;6.9;7.4;11.6;8;191
2004;2;1;ARABA/ALAVA;72;345;20238;82;3.9;11;3;7;0;6;10;15;13;9;2;0;17;0;0;0;0;6;0;0;23;81.4;37;1021.9;974.1;960.4;937;17.7;-4.4;1.1;9.5;4.7;-0.1;6.4;6.2;6.9;4.5;7;142
2004;3;1;ARABA/ALAVA;73;557;30924;76;3.8;13;3;3;0;15;3;15;18;14;4;0;15;0;0;0;0;3;2;0;21.9;97.4;32;1022.6;972.3;961.4;944.6;20.1;-9.2;3.5;11;5.8;0.6;7.3;6.8;6.9;6.6;7;143
2004;4;1;ARABA/ALAVA;84;1048;40449;71;5;12;3;0;1;18;0;15;17;9;2;0;2;0;3;0;0;0;1;0;14.7;58.7;37;1015.5;968.3;955.4;941.1;22.6;-1.4;6.4;13.8;8.8;3.8;10.9;10.3;10;10;9;204
2004;5;1;ARABA/ALAVA;110;1293;56646;69;6.7;11;3;3;0;15;0;17;13;7;1;0;0;0;4;0;0;2;0;0;10.8;31.9;46;1015.7;965.4;956.5;938.2;28.3;2.2;11.6;18.7;12.9;6.9;16.4;15.4;14.5;11.6;9;175
2004;6;1;ARABA/ALAVA;150;1776;67252;65;8.9;6;3;1;0;8;0;21;5;2;0;0;0;5;3;0;0;0;0;0;7;9.2;58;1019;968.5;960.9;952.1;34.5;8;16.2;25.7;18.7;11.8;22.7;21.1;19.9;16.4;9;187
2004;7;1;ARABA/ALAVA;157;1675;66258;69;8.1;6;2;2;0;11;0;23;8;4;1;1;0;7;4;0;0;1;1;0;33.5;49.5;54;1017.7;966.1;959.6;949.5;35.4;5.5;18;25.6;18.8;12;22;21.5;21.3;18;8;160
2004;8;1;ARABA/ALAVA;157;1751;59255;67;8.2;9;2;4;0;14;0;20;11;7;2;0;0;6;5;0;0;2;1;0;18;44.1;59;1014.6;966.1;956.8;946.5;34.5;7;20.1;26.6;19.9;13.2;22.4;21.7;21.9;18.3;8;141
