"anho","mes","idprovincia","nombre","numero_de_incendios","superficie_total_quemada","sup_total_arbolada","sup_total_desarbolada","naturales_casos","naturales_total_arbolada","naturales_total_noarboalda","antropicos_casos","sup_antropicos_total_arbolada","sup_antropicos_total_noarbolada","e","evap","glo","hr","inso","n_cub","n_des","n_fog","n_gra","n_llu","n_nie","n_nub","np_001","np_010","np_100","np_300","nt_00","nt_30","n_tor","nv_0050","nv_0100","nv_1000","nw_55","nw_91","p_max","p_mes","p_sol","q_mar","q_max","q_med","q_min","ta_max","ta_min","ti_max","tm_max","tm_mes","tm_min","ts_10","ts_20","ts_50","ts_min","w_med","w_rec","tasa_de_paro"
2000,1,27,"LUGO",72,92.49,0.17,92.32,0,0,0,72,0.17,92.32,66,324,-9999,79,4.8,-9999,-9999,6,0,5,2,-9999,7,4,2,0,24,0,0,0,0,3,0,0,27.8,47.5,51,1026.9,981.3,972.5,953.7,18.2,-6.9,4.4,10.1,4.1,-1.9,4.8,5.2,-9999,6.4,6,137,NA
2000,1,28,"MADRID",2,0.35,0,0.35,0,0,0,2,0,0.35,59,381.67,26343,73.71,6.44,4,14.57,5.43,0.14,2.86,3.43,12.43,6.43,3.86,1.14,0,21,0,0,0,0.14,3.57,0,0,12.69,26.67,66.43,1025.87,935.17,924.56,907.67,15.43,-4.57,0.67,8.36,3.67,-1.03,0.1,0.3,0.7,3.77,5.29,147.2,NA
2000,1,29,"MALAGA",0,0,0,0,0,0,0,0,0,0,109,567,-9999,80,6,2,7,1,0,9,0,22,9,7,1,0,0,0,4,0,0,0,2,0,23,46.9,60,1023.9,1033.6,1023,1008.5,19.6,2.4,9.6,15.6,11,6.4,-9999,-9999,-9999,13.2,13,362,NA
2000,1,30,"MURCIA",3,1.24,0,1.24,0,0,0,3,0,1.24,86.4,399.33,28030,73.8,6.43,4,12,3.67,0,6.67,0,15,6,4.83,1.17,0.67,4,0,0.67,0.33,0,0.67,0.5,0,22.67,51.18,64.67,1026.65,1029.93,1021.8,1006.28,20.32,-0.28,9.88,14.35,8.88,3.37,8.7,8.8,10.4,7.5,5.33,140.67,NA
2000,1,31,"NAVARRA",0,0,0,0,0,0,0,0,0,0,59,500,-9999,72,4.7,8,6,4,0,4.5,0,17,3,1.25,0,0,15.5,0,0,0,0,4,3.67,0.33,3.8,5.23,49,1027.9,981.7,972.5,957.7,15.5,-5.6,2.65,8.13,4.03,-0.15,-9999,-9999,-9999,5.55,10.67,244,NA
2000,1,32,"OURENSE",195,151.62,14.25,137.37,0,0,0,195,14.25,137.37,61.33,343,-9999,73,4.5,5,7,10,0,8,0,19,6,3.5,1,0,22,0,0,0,0,6,0,0,21.6,35.4,47,1019.05,974.5,965.45,947.25,16.9,-4.8,4.03,10.1,4.4,-1.3,5.1,6.3,7.1,3.27,2.5,51,NA
2000,1,33,"ASTURIAS",53,164.1,20.8,143.3,0,0,0,53,20.8,143.3,80.67,543,19454,78,4.17,7,5,2,0.33,8.33,0.33,19,8.33,5,1.83,0.33,6.83,0,0.33,0,0,0.67,2.2,0.2,30.75,55.62,44.33,1026.1,1016.17,1006.53,987.6,14.73,-2.47,5.3,9.92,6.55,3.17,-9999,4.6,5.4,8.12,7,186,NA
2000,1,34,"PALENCIA",0,0,0,0,0,0,0,0,0,0,49.33,-9999,-9999,75.67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.33,2,1,0,29.33,0,-9999,-9999,-9999,-9999,1,0.33,10.3,18.47,-9999,1023,915.3,905.25,887.45,14.57,-7.87,-1.03,5.93,1.33,-3.33,-9999,-9999,-9999,1.27,7.33,183.33,NA
2000,1,35,"LAS PALMAS",0,0,0,0,0,0,0,0,0,0,149.67,1562.67,-9999,77,6.57,3.33,2,0,0,6.67,0,25.67,5,3,0.67,0,0,0,0,0,0,0,2.67,0,10.3,23.13,62,1019.77,1024.23,1016.8,1008.83,26.37,10.27,16.6,19.83,16.63,13.37,18.8,17.2,18.7,18.03,14.67,363.5,NA
2000,1,36,"PONTEVEDRA",177,155.26,13.91,141.35,0,0,0,177,13.91,141.35,75.5,515,-9999,69.5,5.65,6.5,14.5,2.5,0,8.5,0,10,8,5,1.5,0,0.5,0,0,0,0,0,0.5,0,22.8,45.4,59,1025.2,1013.05,1002.9,984.15,18.1,0.3,6.95,11.9,7.8,3.65,6.25,7,8.3,8.35,6,154,NA
